,topic_num,topic_perc_contrib,keywords,text
0,0,0.8655,"time, go, make, say, want, give, way, even, see, thing","Good game but minor thing that pisses me off so much is the melee. The melee is broken or something because the damage it does is not consistent. It shouldn't be that I put out some damage on someone without them taking any damage out of me and they win boxing match when I go to melee them. Thats not how that should work. Its so aggravating, 343 please fix this."
1,0,0.8652,"time, go, make, say, want, give, way, even, see, thing","the chances of me getting a six figure salary job are higher than the chances of me being matched into a big team battle

EDIT: the chances of me getting a six figure salary job are higher than the chances of me being able to play any game without crashing in the middle of it for seemingly no reason"
2,0,0.861,"time, go, make, say, want, give, way, even, see, thing","finished a game thinking i was auto queued for another, spent 5 minutes on the waiting screen wondering why i wasnt in a game then i realised i didnt press the play button 

10/10"
3,0,0.8332,"time, go, make, say, want, give, way, even, see, thing","I am a 54-year old father, probably one of the oldest people playing Halo Infinite.
I am a single father to my son, who is now 14. My son recently started playing Halo Infinite.
In less than a week, he had already played for over 20 hours.
This was terrible for me because it was already hard enough for me to spend time with my son
because he was always out with his friends or watching YouTube. So I decided to make a Steam
account to play with my son. I started playing, but this was my first time playing a video game
since the 90's, so I was quite lost. I asked my son for help, and together we spent some hours playing Halo Infinite.
I loved it as it was the best time I had spent with my son since my wife had died. Playing video games
reminded me that there's fun to be had in everything, and it has brought
me and my son closer again, and now we actually spend time together outside the house as well."
4,0,0.8252,"time, go, make, say, want, give, way, even, see, thing","I am a 57 year old father, probably one of the oldest people playing Halo Infinite. 
I am a single father to my son, who is now 14. My son recently started playing this game. 
In less than a week, he had already played for over 20 hours. 
This was terrible for me because it was already hard enough for me to spend time with my son 
because he was always out with his friends or watching YouTube. So I decided to make a Steam 
account to play with my son. I started playing, but this was my first time playing a video game
 since the 90's, so I was quite lost. I asked my son for help, and together we spent some hours playing Halo Infinite. 
I loved it as it was the best time I had spent with my son since my wife had sadly passed away. Playing video games 
reminded me that there's fun to be had in everything, and it has brought 
me and my son closer again, and now we actually spend time together outside the house as well."
5,0,0.8044,"time, go, make, say, want, give, way, even, see, thing","Gosh, this program takes forever to load. By the it has loaded i lost interest. As a matter of fact i am leaving this review while it loads.  I would hate to have to wait for this to load on a low end machine."
6,0,0.8035,"time, go, make, say, want, give, way, even, see, thing","As long as i play one match a day, I don't hate this game. anymore than that and i go to bed pissed."
7,0,0.7919,"time, go, make, say, want, give, way, even, see, thing","I'll fix my review if you fix your game first :)

EDIT 10/30/23 - GAME IS ALMOST FIXED ; BASED PIERRE HINTZE ; HAVE FUN SPARTANS!"
8,0,0.7893,"time, go, make, say, want, give, way, even, see, thing","Apparently an update changed how the game settings work, and the game had no idea how to work with the old settings file. I deleted that file and was able to play again. This game is a lot more fun than I remember!
Old Review:
The game doesn't work. Just stuck at a blank screen after hitting ""Enter"" to play. No, the official fix of deleting windows credentials doesn't fix it either. Changing what drive it's in just makes it crash during the loading screen. I just don't get to play anymore."
9,0,0.7862,"time, go, make, say, want, give, way, even, see, thing",I'm not a fan boy for any console but find it odd that so many people are leaving bad reviews and yet in game the achievements show that very few have earned them. It's almost like people are leaving reviews for a game they didn't play.
